1: 55-21×1=
185: 77-75+38=
186: 27+66-45=
187: 98-49+11=
188: 38-9-4=
189: 76-49+50=
190: 54+19+16=
191: 42+18-58=
192: 8+70-26=
193: 87+12-61=
194: 58+29-36=
195: 72-42-3=
196: 6×12-10=
197: 84-52+23=
198: 48-37+27=
199: 46+4+48=
200: 57-(13+32)=
201: 4×10+1=
202: 20+2+50=
203: 54-(72-66)=
204: 34-(3+5)=
205: 37-24+41=
206: 9+24-27=
207: 2×19-21=
208: 94-2×30=
209: 11×8-53=
210: 3×7+57=
211: 1×80-29=
212: 42-36+45=
213: 31×3-89=
214: 1×49-23=
215: 51+24+23=
216: 92×1-56=
217: 41-(97-94)=
218: 2×43-56=
219: 60-12+4=
220: 54×1+32=
221: 90-(84-22)=
222: (69-58)×4=
223: 11+52-14=
224: 88-(75-68)=
225: 98-(89-4)=
226: 35-33×1=
227: 45-(5-3)=
228: 78-6-35=
229: 64-1+17=
230: 77-(38+33)=
231: 54-(97-96)=
232: 35+42-76=
233: 95-32-1=
234: 2×13×2=
235: 8×9-65=
236: 76+5-53=
237: 2×33-56=
238: 44-8-13=
239: 79-55+33=
240: 73-(99-93)=
241: 62-(77-51)=
242: 85-(99-15)=
243: 97-(4+18)=
244: 3×12+41=
245: 33+9-21=
246: 20+34-46=
247: 18×2+38=
248: 9×7-46=
249: 50-(26-19)=
250: 48+29-35=
251: 94-56+5=
252: 1×77-60=
253: 90-51+15=
254: 2×42-79=
255: 92×1-39=
256: 55-3×17=
257: 8+57-45=
258: 86-(46+26)=
259: 92-(45+21)=
260: 44-26×1=
261: 15+26-3=
262: 33×3-72=
263: 51+25-41=
264: 66-13×2=
265: 96-(67-30)=
266: 91-(99-72)=
267: 6-(49-47)=
268: 95-21-8=
269: 31+26-23=
270: 17+79-95=
271: 81-(23+52)=
272: 27+8+45=
273: 21×3+4=
274: 62-35-13=
275: 70-43+13=
276: 67+27-9=
277: 55+20-27=
278: 16×5+16=
279: 95-18-4=
280: 38×2-35=
281: 72-(9+45)=
282: 23+20-18=
283: 18+63+14=
284: 92-24+25=
285: 2+51-39=
286: 25+74-63=
287: 32-(72-58)=
288: 51-6+24=
289: 7×1+91=
290: 49-(5+22)=
291: 1+75-32=
292: 2×27+45=
293: 75-12×1=
294: 5×14-57=
295: 83-27×2=
296: 10×9-74=
297: 61-37+25=
298: 53-(34-7)=
299: 65+1-48=
300: 3×27+6=
301: 61+31-53=
302: 40+8+10=
303: 60-(35+21)=
304: 44-(8+2)=
305: 82-(95-31)=
306: 71-(98-61)=
307: 9+72-39=
308: 47×1+3=
309: 13+2+60=
310: 36-(32-15)=
311: (55-55)×2=
312: 15+57-50=
313: 5×13-18=
314: 35-8-19=
315: 92-8×6=
316: 75-35-34=
317: 57+14+1=
318: 49-1×33=
319: 70-(56-15)=
320: 67-20+31=
321: 27-(60-33)=
322: 81-31+27=
323: 9×10-84=
324: 95-(67+22)=
325: 87×1-47=
326: 35-(13+20)=
327: 68+27-42=
328: 60-(46+14)=
329: 40+56-26=
330: 93-(61+15)=
331: 44×1-43=
332: 35-13-8=
333: 20×4-23=
334: 16+30-12=
335: 99-(45+29)=
336: 88-32-34=
337: 2×29+8=
338: 68-31×1=
339: 55+7-14=
340: 74-(98-26)=
341: 98-29+5=
342: 15+65-33=
343: 65-2×20=
344: 96-35-21=
345: 14+11-7=
346: 75×1+7=
347: 79-33+11=
348: 63-23+11=
349: 49-40-5=
350: 57+27-57=
351: 9+89-65=
352: 88-12+12=
353: 97-(72-4)=
354: 70-9×3=
355: 68-25+5=
356: 55+23-28=
357: 6+69-37=
358: 85-24×2=
359: 46-(72-59)=
360: (19-15)×21=
361: 64+17+5=
362: 70+15-20=
363: 77-37-1=
364: 58-(91-47)=
365: 28-(67-49)=
366: 26-(80-57)=
367: 8+14+39=
368: 71-(29-27)=
369: 12+12-3=
370: 11×8-8=
371: 19+23+12=
372: 59+5+26=
373: 29×2+23=
374: 4+92-91=
375: 7×10-38=
376: 7×11-52=
377: 1×4+18=
378: 99-1-70=
379: 2×48-27=
380: 62-59+7=
381: 5×14-59=
382: 62-12+46=
383: 72+5-20=
384: 1×72+9=
385: 1×72-71=
386: 87-71+3=
387: 1×32-13=
388: 23+54-27=
389: 25+28+27=
390: 54-(56-15)=
391: 94-(11+49)=
392: 64-(11-4)=
393: 91-(30+55)=
394: 81-24+2=
395: 91-(30+2)=
396: 23×2-35=
397: 7+25+51=
398: 99-(38+20)=
399: 72+14+11=
400: 33+28-42=
401: (17-11)×10=
402: 7×4-10=
403: 9+40+40=
404: 53-(78-57)=
405: 8×12-52=
406: 53-4×4=
407: 80-5-70=
408: 92-41-49=
409: 94-21-47=
410: 4×6+53=
411: 89×1-79=
412: 9×9-6=
413: 4×12+3=
414: 87-(2+46)=
415: 2×24-3=
416: 22×4+4=
417: 74-58+32=
418: 45+52-44=
419: 81-13×5=
420: 49+9+21=
421: 45×2+7=
422: 7×6-4=
423: 14×5+1=
424: 3×33-18=
425: 30+37-32=
426: 85-(39+4)=
427: 56-(82-62)=
428: 1×83-11=
429: 55-11+7=
430: 11×8-20=
431: 5+56+3=
432: (74-18)×1=
433: 71-(21+48)=
434: 86-22+30=
435: 92-9×5=
436: 55-35-10=
437: 92-(68-64)=
438: 12×7-73=
439: 93-47+17=
440: 8×10-25=
441: 65-41+68=
442: 1×35+53=
443: 2×3+87=
444: 3×9-3=
445: 40×2-6=
446: 42+44-10=
447: (30-19)×9=
448: 64+35-21=
449: 1×3+18=
450: 35+7+53=
451: 2×26+15=
452: 3+60+33=
453: 65-(58-53)=
454: 56-(21+25)=
455: 14+1+6=
456: 33-17-7=
457: 63-45+42=
458: 52+19-55=
459: 68+6-17=
460: 71-11×1=
461: 50-8-4=
462: 97-(62-12)=
463: 42×2-9=
464: 46+46-18=
465: 96-(22+59)=
466: 37+18+18=
467: 3×22+6=
468: 16+78-77=
469: 30-(62-62)=
470: 64-2×15=
471: 58-(97-77)=
472: 55-(22+15)=
473: 54-3×16=
474: 71-(36+1)=
475: 53+35-76=
476: 98-(56-8)=
477: 85-33+15=
478: 97-(49+12)=
479: 75-14×5=
480: 6×16-47=
481: 49-3×7=
482: 72-55+62=
483: 51+37-87=
484: 63-15×3=
485: 84-(1+20)=
486: 95-4×13=
487: 69+19-17=
488: 91-66+67=
489: 72-47×1=
490: 87-28+33=
491: 77-34-15=
492: 44-(76-56)=
493: 38+45-19=
494: 65-61+33=
495: 82×1-65=
496: 77×1-32=
497: 35-22+82=
498: 2×20+29=
499: 12×5+22=
500: 10×7-6=
501: 45-(80-66)=
502: 35+61-80=
503: 6+8+61=
504: 42+55-78=
505: (48-10)×1=
506: (55-54)×59=
507: 1×59-7=
508: 89-39+17=
509: 28+71-32=
510: 2×22-29=
511: 88-71×1=
512: 93-6×11=
513: 2×25-7=
514: 16+8+20=
515: 57+19-39=
516: 23×3-64=
517: 17-2+5=
518: 23+23-1=
519: 73-4×9=
520: 2×27-26=
521: 14+31+42=
522: 37+5+4=
523: 26+60-26=
524: 52-34+62=
525: 7×2+53=
526: 90×1-34=
527: 31+45-62=
528: 4×24-67=
529: 79-(56-18)=
530: 68-15×4=
531: 99-49×1=
532: 22×1+31=
533: 5+63-6=
534: 9×10-72=
535: 33+27-18=
536: 10+87-81=
537: 54-(84-56)=
538: 18×2-3=
539: 2×13-3=
540: 1×36-15=
541: 47-32+10=
542: 88-85+93=
543: 70×1+25=
544: 25×3-60=
545: 35+13-44=
546: 4+33-16=
547: 36-(76-58)=
548: 5×11-19=
549: 21+27+13=
550: 47-41+78=
551: 84-32+28=
552: 62+5-24=
553: 63-(55-48)=
554: 4×16+32=
555: 74-(42-31)=
556: 2×47-8=
557: 1×33+29=
558: 12×4-10=
559: 33+60-15=
560: 76+9-35=
561: 80-10×4=
562: 66-(6+21)=
563: 71-16-6=
564: 87-(49+37)=
565: (9-8)×62=
566: 69-(5+60)=
567: 92-60-2=
568: 21+27+25=
569: 87-(54+5)=
570: 39-(94-59)=
571: 66-34-13=
572: 6×4-17=
573: 10+47+25=
574: 99-74+56=
575: 86-2×32=
576: 98-21×4=
577: 77-(17+48)=
578: 24+64-11=
579: 76-(2+48)=
580: 51-19×2=
581: 73-16-17=
582: 23×4+3=
583: 66+30-34=
584: 2×33-57=
585: 14-12-1=
586: 4+64-51=
587: 73-35+2=
588: 24+31+15=
589: 97-4×16=
590: 64-(5+49)=
591: 78-(85-81)=
592: 91-(84-83)=
593: 8×10-35=
594: 97-44-26=
595: 64+1-55=
596: 11+64-69=
597: 33-(61-36)=
598: 7×14-8=
599: 2×28+23=
600: 7+89-26=
601: 23+28+14=
602: 11×7+15=
603: 98-42+34=
604: 23-23×1=
605: 32+34+17=
606: 2×47-42=
607: 40+25-31=
608: 39×2-4=
609: 39×1+25=
610: 15+84-60=
611: 23×3-24=
612: 30-(16-10)=
613: 58-42+22=
614: 31+1+25=
615: 99-44-17=
616: 55+44-96=
617: 14+29+41=
618: 13+50+2=
619: 92-(61-7)=
620: 58-(30+23)=
621: 82-10-40=
622: 97-39-24=
623: 43+47-23=
624: 94-(41-16)=
625: 7+83-23=
626: 30+25+36=
627: 41-(10+18)=
628: 15×6-45=
629: 84-(2+69)=
630: 1×91-30=
631: 91-18×4=
632: 16+40-6=
633: 65-48-5=
634: 1×78-59=
635: 84-(67-67)=
636: 14×7-74=
637: 93-9×2=
638: 1×86-31=
639: 80-(71-26)=
640: 24+35-4=
641: 44-(33-32)=
642: 93-29-53=
643: 20-5-5=
644: 1×81-64=
645: 54-14+22=
646: 5×11-1=
647: 90-(29+22)=
648: 36+9-30=
649: 36-30+8=
650: 34+57-86=
651: 35+42-16=
652: 55-11×2=
653: 71×1+3=
654: 26×2-16=
655: 98-4×8=
656: 95-24×1=
657: 55-(41-20)=
658: 79-54+14=
659: 92-5×12=
660: 97-(6+8)=
661: 3×18-42=
662: 16+1-15=
663: 64-(3+2)=
664: 35+24-46=
665: 88-58-25=
666: 1×43-4=
667: 20-(84-75)=
668: 88-5×17=
669: 2×32+30=
670: 85-(9+52)=
671: 77-(94-87)=
672: 90-(18+4)=
673: 96-26+5=
674: 97-(39-23)=
675: 5×1+39=
676: 91-(23+66)=
677: 13×3+50=
678: 7+76-30=
679: 34+30+7=
680: 74×1-43=
681: 71-2×12=
682: 40-20+21=
683: 1×89+5=
684: 47+45-74=
685: 16+38-47=
686: 24×3-13=
687: 84-1×57=
688: 45+19-35=
689: 2×7-3=
690: 7+11+15=
691: 89-(60-20)=
692: 61-(71-67)=
693: 96-11-75=
694: 92-74+43=
695: 40×1-31=
696: 47-8+47=
697: 55+16-65=
698: 46+44-14=
699: 90-(90-27)=
700: 13×5-4=
701: 36×2-20=
702: 87-(47+30)=
703: 2×41-18=
704: 79-(79-10)=
705: 20+12+21=
706: 76-(17+19)=
707: 1×43+52=
708: 16+66-58=
709: 67-22+30=
710: 82-(58-39)=
711: 61×1-23=
712: 96-76+33=
713: 1+91-57=
714: 1×73+16=
715: 4×7+24=
716: 1×62-57=
717: 87-(11+32)=
718: 34×2-48=
719: (45-44)×44=
720: 17×4-44=
721: 99-6-6=
722: 82-1×58=
723: 82-(97-54)=
724: 43+8+21=
725: 98-(34+3)=
726: 16+57+10=
727: 66+12-49=
728: 78-29×2=
729: 2+95-38=
730: 14+26-13=
731: 29×1-6=
732: 13-5+60=
733: 90-(71-35)=
734: 76+20-27=
735: 43-(40-6)=
736: 25+64-21=
737: 44+28-51=
738: 72-29+24=
739: 58-2-27=
740: 89-(46+27)=
741: 45-(41-22)=
742: 69-14×3=
743: 91-32+31=
744: 4×15+23=
745: 96-(93-38)=
746: 1×27-10=
747: 44+19+36=
748: 6×16-22=
749: 28-(86-76)=
750: 57-23-4=
751: 55-3×13=
752: 92-(99-29)=
753: 78-(67+9)=
754: 6+76-18=
755: 6+77-40=
756: 96-12×8=
757: 32-(32-12)=
758: 19×5×1=
759: 92-4-87=
760: 29+25-33=
761: 61+34-46=
762: 9×4-8=
763: 8+56-44=
764: 8×9-31=
765: 92-(76-1)=
766: 46+27-63=
767: 72-5×11=
768: 23×4-42=
769: 19+21-36=
770: 58-3×6=
771: 62-(19+10)=
772: 65-20×1=
773: 65+32-74=
774: 74-1+19=
775: 5+46+12=
776: 75-(78-11)=
777: 21+60-20=
778: 90-4×15=
779: 23-22×1=
780: 37+60-3=
781: 85-(30+5)=
782: 78-33-25=
783: 1×53+8=
784: 87-1×81=
785: 65-(51-3)=
786: 58×1-41=
787: 39-28+11=
788: 94-(8+35)=
789: 2×1×13=
790: 70-35×1=
791: 7+92-77=
792: 86-(55-4)=
793: 31+31-50=
794: 98-(16+78)=
795: 90-10-8=
796: 1×21-3=
797: 3×21×1=
798: 28×1+6=
799: 1×40+3=
800: 83-20-56=
801: 88-(15+5)=
802: 81-31-41=
803: 57+28-76=
804: 5×14-3=
805: 32-23+55=
806: 81+1-4=
807: 77×1-74=
808: 76×1+22=
809: 39×1-12=
810: 32+48-6=
811: 62-2×3=
812: 61-(53-27)=
813: 52-(18-4)=
814: 83-10+24=
815: 89-(51-48)=
816: 95-(17+36)=
817: 4+79-70=
818: 43+46-1=
819: 46×2-60=
820: 13+4+6=
821: 5×10+11=
822: 53+10+34=
823: 43-5+27=
824: 11+72-63=
825: 65×1+18=
826: 1×28×3=
827: 35+52-31=
828: 74-8-33=
829: 58-8×6=
830: 76-(43+3)=
831: 97-27-66=
832: 66-(25+17)=
833: 69-(5+38)=
834: 26×1+66=
835: 23+44-36=
836: 22+67-21=
837: 37+48-54=
838: 78+7-58=
839: 53×1-40=
840: 99-41×2=
841: 29+8+11=
842: 52-2+27=
843: 25+66-75=
844: 49+5-34=
845: 47-12+11=
846: 75-(2+72)=
847: 38+17-11=
848: 9+41-33=
849: 7×3+53=
850: 11×8-32=
851: 59-6-10=
852: 96-8-84=
853: (24-12)×8=
854: 3×21-53=
855: 61+29-57=
856: 96-41-5=
857: 49×2-48=
858: 65+24-14=
859: 76-1-12=
860: 1×17+28=
861: 56+23-75=
862: 96-(28+43)=
863: 54-22×2=
864: 49-2+40=
865: 91×1-42=
866: 65-(54-45)=
867: 62-14-4=
868: 23+64-82=
869: 93-42×2=
870: 77-55+4=
871: 95-1×43=
872: 92-(17+51)=
873: 79-(32+39)=
874: 64-(96-87)=
875: 2×49-54=
876: 31-9-8=
877: 23+10+59=
878: 61-1×53=
879: 8×8-38=
880: 53+43-3=
881: 95-(63-2)=
882: 49+28-5=
883: 74-21+34=
884: 10×4-22=
885: 42+31-22=
886: 49+50-15=
887: 5×9-15=
888: 75-8-61=
889: 57-4-11=
890: 13+15-11=
891: 70-(60-15)=
892: 44-1-8=
893: 60+9+24=
894: 91-(83-81)=
895: 81+18-64=
896: 63+27-73=
897: 9×11-42=
898: 29+45-2=
899: 90-70-17=
900: 54-(64-19)=
901: 21+37-48=
902: 11×3+36=
903: 39-7+28=
904: 2×45-57=
905: 5+47-38=
906: 58-4-10=
907: 89-(13+60)=
908: 41-2×3=
909: 38-(93-66)=
910: 48-11×2=
911: 4×9+58=
912: 81+17-57=
913: 26+39+21=
914: 7+46-23=
915: 49×1-10=
916: 55×1+15=
917: 57+37-34=
918: 8×11-23=
919: 71-28-38=
920: 83-(65+8)=
921: 58-10-34=
922: 13+34-4=
923: 19+23-20=
924: (34-23)×2=
925: 38+15+15=
926: 60-44-15=
927: 61+27-70=
928: 22×1+26=
929: 42+47-74=
930: 85-(53-51)=
931: 85-36+47=
932: 7×14-9=
933: 5×16-37=
934: 93-65+62=
935: 23+48-15=
936: 93-(7+21)=
937: 1+2+73=
938: 35+46+16=
939: 60-8+41=
940: 89-2×42=
941: 1×97-25=
942: 93-(76-21)=
943: (97-95)×6=
944: (58-16)×2=
945: 87-50+62=
946: 1×77-45=
947: 1×39+38=
948: 81-50-21=
949: 66-1×6=
950: 2×19+42=
951: 1×25+55=
952: 99-7-78=
953: 79-9×8=
954: 57-(19+12)=
955: 2×11+69=
956: 2+62-37=
957: 6×15-70=
958: 35+21+37=
959: 89-(54+11)=
960: 54-(49-45)=
961: 18+1+36=
962: 98-2-72=
963: 19+42-16=
964: 5×13+7=
965: 39-1+7=
966: 1×79-12=
967: 19+36-40=
968: 14+10+2=
969: 41+53-22=
970: 5+60-9=
971: 43+48+1=
972: 55-10-34=
973: 2+82-78=
974: (48-11)×2=
975: 66+6-38=
976: 57-(59-13)=
977: 38-33+49=
978: 28+44-60=
979: 41+10-32=
980: 80-31-39=
981: 38-34+25=
982: 2×8+47=
983: 27-(65-56)=
984: 89-2×33=
985: 95+2-45=
986: 37+21+32=
987: 6×14-73=
988: 72×1+23=
989: 98-66+35=
990: 97-15+10=
991: 1×18+73=
992: 73-(46+19)=
993: 54-46×1=
994: 99-36×2=
995: 99-(61+32)=
996: 97-13-75=
997: 76-51+8=
998: 2×8-7=
999: 91-(54-16)=
1000: 97-(95-52)=
1001: 43-(35-13)=
1002: 45×2-33=
1003: 5×15+12=
1004: 41×1-32=
1005: 38-31-4=
1006: 44×2-62=
1007: 82-(57-34)=
1008: 84-10-57=
1009: 56+6-59=
1010: 18-(94-77)=
1011: 95-(4+24)=
1012: 25-1+31=
1013: 42+17-49=
1014: 74-4×13=
1015: 5+33+11=
1016: 19+62-72=
1017: 29-2-19=
1018: 12+30+55=
1019: (1+69)×1=
1020: 85-36-47=
1021: 46+51-15=
1022: 91+4-70=
1023: 1+11+8=
1024: 64-(17+6)=
1025: 80×1-14=
1026: 6+86-62=
1027: 14+26-29=
1028: 78-(51+14)=
1029: 87-19×1=
1030: 6×10+5=
1031: 66-(15-6)=
1032: 95-13-16=
1033: 85-52-6=
1034: 86-61+46=
1035: 86-(28+23)=
1036: 8×12-53=
1037: 6×7+39=
1038: 75-(38+21)=
1039: 86+1-1=
1040: 42+4-16=
1041: 40+31-8=
1042: 72-(86-40)=
1043: 4×7+40=
1044: 96-2×44=
1045: 45-(79-47)=
1046: 40×1+29=
1047: 93-55+49=
1048: 81+4+1=
1049: 2×37-6=
1050: 35+44+10=
1051: 74-26-37=
1052: 72+25-91=
1053: 98-(28+67)=
1054: 48+4+4=
1055: 84-1×6=
1056: 68-19×2=
1057: 54+31-2=
1058: 95-1-55=
1059: 26-(89-88)=
1060: 3+39-34=
1061: 23+36+7=
1062: 64-(83-62)=
1063: 61-(42-3)=
1064: 76-(24-16)=
1065: 2×25-20=
1066: (98-67)×2=
1067: 67-54+46=
1068: 3×3×8=
1069: 80-59+15=
1070: 69-7+28=
1071: 6×12+3=
1072: 98-(50+47)=
1073: 84-(6-2)=
1074: 74-18-47=
1075: 94-37+3=
1076: 43-(23+14)=
1077: (23-22)×40=
1078: 59-(43-4)=
1079: 80-3×9=
1080: 97-(59+9)=
1081: 7+61-60=
1082: 41-(35+1)=
1083: 46+42-55=
1084: 5×7+63=
1085: 45-35+45=
1086: 37-34×1=
1087: 30+60-22=
1088: 17+16+22=
1089: 28-15+3=
1090: (48-47)×62=
1091: 92-58+24=
1092: 2×48-91=
1093: 54+29+15=
1094: 8+88-94=
1095: 52-(24-13)=
1096: 6×2+40=
1097: 57+33-53=
1098: 88-29+4=
1099: 1×22+2=
1100: 94×1-10=
1101: 19×3-50=
1102: 31-1×8=
1103: 3×24+10=
1104: 93-(41+42)=
1105: 79+9-12=
1106: 86-7-47=
1107: 69+8-41=
1108: 60-1×59=
1109: 87-40-37=
1110: 65-1×11=
1111: 60-9-45=
1112: 48-12-18=
1113: (12-1)×7=
1114: 79-8-44=
1115: 10+77-67=
1116: 66+31-34=
1117: 86-72-2=
1118: 98-65×1=
1119: 96×1-71=
1120: 42+23-30=
1121: 4+58-2=
1122: 43+33-15=
1123: 35+62-65=
1124: 6+93-28=
1125: (9-5)×14=
1126: 85-35+35=
1127: 45+40-42=
1128: 8×12-74=
1129: 56+5+18=
1130: 50-(48-7)=
1131: 78-(20+42)=
1132: 86-(39-8)=
1133: 33-(19-12)=
1134: 16+55-23=
1135: 43+19+5=
1136: 1×48-14=
1137: 30+35-47=
1138: 83-75+29=
1139: 42×2-4=
1140: 54-21×2=
1141: 89-12+5=
1142: 93-70-21=
1143: 57-(63-10)=
1144: 96-(6+66)=
1145: 44+46-32=
1146: 52+21-63=
1147: 74-2×36=
1148: 43-37+90=
1149: 43-24+45=
1150: 97+1-87=
1151: 54-4+13=
1152: 69-(93-77)=
1153: 7×6-21=
1154: 59+17-14=
1155: 1×62+14=
1156: 64-64×1=
1157: 88-10-4=
1158: 65-(35+15)=
1159: 86-45+50=
1160: 22×3-29=
1161: 16×3-2=
1162: 97-1×7=
1163: 81-(54+9)=
1164: 33+22+14=
1165: 1×44+11=
1166: 31×3-82=
1167: 73+1+10=
1168: 48-20+33=
1169: 1×43-38=
1170: 10×1+45=
1171: 1+73-18=
1172: 98-43+1=
1173: 28+49-28=
1174: 17×2+3=
1175: 81-8-45=
1176: 99-56-5=
1177: 59-38+15=
1178: 92-1×55=
1179: 57-(43-24)=
1180: 26+59-80=
1181: 38+4+40=
1182: 4×12+39=
1183: 15+2+44=
1184: 14×4+28=
1185: 85-17-65=
1186: 34+23-30=
1187: 1×44-3=
1188: 1×96-8=
1189: 19+40+27=
1190: (59-18)×2=
1191: 11+80-33=
1192: 81-68+32=
1193: 9×10-5=
1194: 44-33+50=
1195: 83-10×8=
1196: 43+56-88=
1197: 91-(38+42)=
1198: 32-2-26=
1199: 23-5×4=
1200: 8+21-16=
1201: 42×2+1=
1202: 10×4+37=
1203: 23+47-17=
1204: 81+10-9=
1205: (97-92)×11=
1206: 13×3+53=
1207: 49+6+5=
1208: 30+32+8=
1209: 90-(3+66)=
1210: 32×3-10=
1211: 1×17+25=
1212: 58-10×3=
1213: 1×82-22=
1214: 99-(43+13)=
1215: 1×88-12=
1216: 80-(41+18)=
1217: 92-(7+70)=
1218: 93-(95-31)=
1219: 38-7+19=
1220: 45-(80-57)=
1221: 55+4-13=
1222: 1×4+14=
1223: 26+68-12=
1224: 59-(32+24)=
1225: 64-(97-74)=
1226: 18×4-16=
1227: 36-3-3=
1228: 4×13+32=
1229: 60-27+21=
1230: 72-6×6=
1231: 80-(80-7)=
1232: 32-(49-44)=
1233: 45-4×6=
1234: 29+4+47=
1235: 10+33+35=
1236: 41+54-73=
1237: 22+65-31=
1238: 51-7+18=
1239: 60+32-44=
1240: 89-33-51=
1241: 23-(52-38)=
1242: 48-(36-5)=
1243: 2×11+4=
1244: (17-5)×6=
1245: 1×48+32=
1246: 74+1-58=
1247: 64-6×8=
1248: 48+36+3=
1249: 22+33-34=
1250: 38×2-70=
1251: 78-40+41=
1252: 79-41-30=
1253: 9+27+55=
1254: 4+81-66=
1255: 51-(93-80)=
1256: 77-10×2=
1257: 75-3-63=
1258: 49-(8+5)=
1259: 1×92-26=
1260: 79-(1+25)=
1261: 96-22-30=
1262: 52-1×2=
1263: 85-(58-31)=
1264: 3+14+35=
1265: 90-30×3=
1266: 17+20-16=
1267: 96-(56+17)=
1268: 27×3-46=
1269: 92-(44+27)=
1270: 77+21-4=
1271: 7×2-7=
1272: 63-5+7=
1273: 85-64+77=
1274: 5×17-44=
1275: 6×1+36=
1276: 20-(86-77)=
1277: 61-(95-36)=
1278: 92-(71-53)=
1279: (87-71)×2=
1280: 1×95+1=
1281: 40-12-11=
1282: 72-(73-29)=
1283: 66-(36-35)=
1284: 78-7×6=
1285: 76-23+32=
1286: 94-(1+31)=
1287: 52-(81-54)=
1288: 53-18+63=
1289: 71-1×6=
1290: 17×1+41=
1291: 37+17-16=
1292: 44+6+14=
1293: 90-80+63=
1294: 70-(53+17)=
1295: 80+1+3=
1296: 3+76-76=
1297: 23-(61-55)=
1298: 61-31+67=
1299: 76-(5+23)=
1300: 1×80-72=
1301: 62+5-30=
1302: 38-13+6=
1303: 11+17+28=
1304: 74-16-17=
1305: 20-(46-34)=
1306: 48-34+10=
1307: 52+35-28=
1308: 7+3+5=
1309: 81×1-47=
1310: 88-2×20=
1311: 41+25-28=
1312: 7+81-82=
1313: 1×89-10=
